
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
88:1D:FC:91:16:7F, 2019-11-25 17:14:31, 2019-11-25 17:21:24, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
DC:F7:19:4D:82:A0, 2019-11-25 17:14:31, 2019-11-25 17:21:24, 11,  -1, WPA, ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
84:3D:C6:37:3A:30, 2019-11-25 17:16:31, 2019-11-25 17:20:50, 11,  -1, OPN, ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
64:F6:9D:5B:C5:00, 2019-11-25 17:19:36, 2019-11-25 17:20:11, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
70:6B:B9:89:DC:80, 2019-11-25 17:19:25, 2019-11-25 17:19:25, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:A6:CA:29:BA:20, 2019-11-25 17:18:23, 2019-11-25 17:18:23, 11,  -1, OPN, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
C8:60:00:B1:3D:CC, 2019-11-25 17:16:59, 2019-11-25 17:17:28, 11,  -1, WPA, ,   ,  -1,        0,       41,   0.  0.  0.  0,   0, , 
88:1D:FC:88:62:20, 2019-11-25 17:15:53, 2019-11-25 17:16:00, 11,  -1, WPA, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
DC:F7:19:4D:89:CF, 2019-11-25 17:14:22, 2019-11-25 17:16:41, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
FC:5B:39:AE:06:E0, 2019-11-25 17:17:30, 2019-11-25 17:18:09, 11,  -1, OPN, ,   ,  -1,        0,        8,   0.  0.  0.  0,   0, , 
DC:F7:19:4D:2D:C0, 2019-11-25 17:18:31, 2019-11-25 17:18:31, 11,  -1, OPN, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
74:D2:1D:C3:23:70, 2019-11-25 17:16:48, 2019-11-25 17:20:17, 11,  65, WPA2, CCMP, PSK, -78,       13,        2,   0.  0.  0.  0,  19, HUAWEI Mate 10 lite, 
6C:FA:89:16:F4:50, 2019-11-25 17:20:19, 2019-11-25 17:20:19, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
DC:F7:19:48:C8:80, 2019-11-25 17:20:30, 2019-11-25 17:20:30, 11,  -1, OPN, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
84:3D:C6:37:3A:3F, 2019-11-25 17:16:27, 2019-11-25 17:20:57, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
88:1D:FC:91:16:70, 2019-11-25 17:21:20, 2019-11-25 17:21:20, 11,  -1, OPN, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
DC:F7:19:4D:31:00, 2019-11-25 17:14:18, 2019-11-25 17:21:50, 11, 130, WPA2, CCMP, MGT, -76,      295,      129,   0.  0.  0.  0,   7, eduroam, 
4A:45:20:D4:2A:B5, 2019-11-25 17:13:10, 2019-11-25 17:21:53, 11, 130, WPA2, CCMP, PSK, -38,     3400,        0,   0.  0.  0.  0,  25, DIRECT-OVNAOCOMPREMHPms5B, 
58:EF:68:B7:23:C1, 2019-11-25 17:07:13, 2019-11-25 17:21:53, 11,  54, WEP, WEP GCMP, OPN, -38,     5364,   155922,   0.  0.  0.  0,   7, SIO_WEP, 
58:EF:68:B7:2B:91, 2019-11-25 17:07:13, 2019-11-25 17:21:53, 11, 360, WPA2 WPA, CCMP TKIP, PSK, -19,     6941,     3583,   0.  0.  0.  0,   7, SIO_WPA, 
DC:F7:19:4D:89:C0, 2019-11-25 17:12:29, 2019-11-25 17:21:36, 11,  -1, OPN, ,   ,  -1,        0,        3,   0.  0.  0.  0,   0, , 
DC:F7:19:3D:57:A0, 2019-11-25 17:09:33, 2019-11-25 17:21:33, 11,  -1, OPN, ,   ,  -1,        0,        5,   0.  0.  0.  0,   0, , 
FC:5B:39:B0:17:00, 2019-11-25 17:11:34, 2019-11-25 17:21:50, 11,  -1, WPA, ,   ,  -1,        0,       71,   0.  0.  0.  0,   7, eduroam, 
74:88:BB:20:C0:E0, 2019-11-25 17:10:19, 2019-11-25 17:21:50, 11,  -1, WPA, ,   ,  -1,        0,      154,   0.  0.  0.  0,   0, , 
DC:F7:19:4D:31:E0, 2019-11-25 17:21:32, 2019-11-25 17:21:32, 11,  -1, OPN, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
54:27:1E:40:1C:82, 2019-11-25 17:14:29, 2019-11-25 17:20:48, -47,       36, DC:F7:19:4D:89:C0,eduroam
DC:71:96:B7:97:DD, 2019-11-25 17:17:10, 2019-11-25 17:20:46, -49,       12, (not associated) ,eduroam
E0:94:67:98:FF:EE, 2019-11-25 17:13:58, 2019-11-25 17:20:46, -51,       31, (not associated) ,eduroam
0A:EB:5A:91:B2:A1, 2019-11-25 17:20:46, 2019-11-25 17:20:46, -53,        3, (not associated) ,
94:65:9C:50:D8:A4, 2019-11-25 17:14:50, 2019-11-25 17:20:46, -55,       14, (not associated) ,eduroam
8A:2F:AC:E0:A6:22, 2019-11-25 17:20:45, 2019-11-25 17:20:45, -59,        1, (not associated) ,
E6:80:AD:88:0A:02, 2019-11-25 17:20:43, 2019-11-25 17:20:43, -63,        4, (not associated) ,
D8:5D:E2:E6:91:AF, 2019-11-25 17:20:39, 2019-11-25 17:20:48, -65,        5, (not associated) ,eduroam
3C:A9:F4:1C:A6:58, 2019-11-25 17:16:50, 2019-11-25 17:20:47, -65,       16, (not associated) ,eduroam
6C:C7:EC:93:BB:5E, 2019-11-25 17:17:37, 2019-11-25 17:20:44, -67,        7, (not associated) ,eduroam
DA:A1:19:B8:CD:D5, 2019-11-25 17:20:35, 2019-11-25 17:20:36, -47,        2, (not associated) ,
86:0B:0B:D4:40:C9, 2019-11-25 17:20:36, 2019-11-25 17:20:36, -57,        2, (not associated) ,
A6:C4:69:6A:72:7E, 2019-11-25 17:20:34, 2019-11-25 17:20:34, -57,        2, (not associated) ,
D2:07:BB:91:8F:FF, 2019-11-25 17:20:32, 2019-11-25 17:20:33, -57,        4, (not associated) ,
DA:A1:19:B9:62:EC, 2019-11-25 17:20:35, 2019-11-25 17:20:35, -59,        2, (not associated) ,
58:E2:8F:7C:7D:F7, 2019-11-25 17:17:49, 2019-11-25 17:20:32, -71,        7, (not associated) ,eduroam
66:C6:1B:F9:F0:3A, 2019-11-25 17:20:35, 2019-11-25 17:20:35, -73,        1, (not associated) ,
F0:6E:0B:D2:70:BC, 2019-11-25 17:16:59, 2019-11-25 17:20:35, -85,      374, DC:F7:19:4D:31:00,cufc
DA:A1:19:DB:21:DF, 2019-11-25 17:07:15, 2019-11-25 17:20:22, -41,      242, (not associated) ,eduroam
04:D9:F5:0D:DD:56, 2019-11-25 17:07:27, 2019-11-25 17:20:21, -47,       86, (not associated) ,eduroam
DA:A1:19:51:88:69, 2019-11-25 17:20:23, 2019-11-25 17:20:24, -55,        7, (not associated) ,
DA:A1:19:0A:21:03, 2019-11-25 17:20:24, 2019-11-25 17:20:24, -59,        1, (not associated) ,
9E:52:F8:FD:49:93, 2019-11-25 17:20:23, 2019-11-25 17:20:23, -59,        1, (not associated) ,
3E:85:FB:36:F7:72, 2019-11-25 17:20:23, 2019-11-25 17:20:23, -63,        6, (not associated) ,
DA:A1:19:4B:83:90, 2019-11-25 17:20:20, 2019-11-25 17:20:20, -65,        1, (not associated) ,
5A:A4:55:81:03:16, 2019-11-25 17:20:19, 2019-11-25 17:20:19, -65,        1, (not associated) ,
7E:4E:80:CA:C8:2A, 2019-11-25 17:20:20, 2019-11-25 17:20:20, -85,        3, (not associated) ,
F0:8A:76:5A:ED:E0, 2019-11-25 17:20:19, 2019-11-25 17:20:19, -85,        9, 6C:FA:89:16:F4:50,
24:FD:52:F6:4A:33, 2019-11-25 17:08:46, 2019-11-25 17:20:10, -39,       35, (not associated) ,eduroam
CC:44:63:08:64:27, 2019-11-25 17:13:10, 2019-11-25 17:21:49, -39,       54, (not associated) ,eduroam
EC:9B:F3:54:FF:D3, 2019-11-25 17:14:24, 2019-11-25 17:20:12, -53,       32, (not associated) ,eduroam
92:AB:C3:D5:A5:6F, 2019-11-25 17:20:08, 2019-11-25 17:20:08, -55,        3, (not associated) ,
C2:63:53:F8:39:4A, 2019-11-25 17:20:12, 2019-11-25 17:20:12, -57,        4, (not associated) ,
D8:8F:76:69:8F:6D, 2019-11-25 17:15:13, 2019-11-25 17:20:08, -57,       30, DC:F7:19:4D:89:C0,eduroam
9E:E4:55:6F:4F:B0, 2019-11-25 17:20:10, 2019-11-25 17:20:10, -59,        1, (not associated) ,
C4:86:E9:69:C7:85, 2019-11-25 17:16:13, 2019-11-25 17:20:12, -59,       24, (not associated) ,eduroam
82:D4:0B:72:4D:28, 2019-11-25 17:17:55, 2019-11-25 17:20:10, -61,        5, (not associated) ,
DA:A1:19:69:EC:B0, 2019-11-25 17:20:11, 2019-11-25 17:20:11, -75,        2, (not associated) ,eduroam
