Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;;88:1D:FC:91:16:7F;;11;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Nov 25 17:14:31 2019;Mon Nov 25 17:21:24 2019;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;;DC:F7:19:4D:82:A0;;11;No;WPA,None;No;-1.0;0;0;0;2;0;0;2;;;Mon Nov 25 17:14:31 2019;Mon Nov 25 17:21:24 2019;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;;84:3D:C6:37:3A:30;;11;No;OPN,None;No;-1.0;0;0;0;2;0;0;2;;;Mon Nov 25 17:16:31 2019;Mon Nov 25 17:20:50 2019;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;;64:F6:9D:5B:C5:00;;11;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Nov 25 17:19:36 2019;Mon Nov 25 17:20:11 2019;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;;C8:60:00:B1:3D:CC;;11;No;WPA,None;No;-1.0;0;0;0;41;0;0;41;;;Mon Nov 25 17:16:59 2019;Mon Nov 25 17:17:28 2019;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;;88:1D:FC:88:62:20;;11;No;WPA,None;No;-1.0;0;0;0;1;0;0;1;;;Mon Nov 25 17:15:53 2019;Mon Nov 25 17:16:00 2019;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;;DC:F7:19:4D:89:CF;;11;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Nov 25 17:14:22 2019;Mon Nov 25 17:16:41 2019;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;;FC:5B:39:AE:06:E0;;11;No;OPN,None;No;-1.0;0;0;0;8;0;0;8;;;Mon Nov 25 17:17:30 2019;Mon Nov 25 17:18:09 2019;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;HUAWEI Mate 10 lite;74:D2:1D:C3:23:70;;11;No;WPA2,AES-CCM;No;65.0;0;13;0;2;0;0;2;;;Mon Nov 25 17:16:48 2019;Mon Nov 25 17:20:17 2019;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;;6C:FA:89:16:F4:50;;11;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Nov 25 17:20:19 2019;Mon Nov 25 17:20:19 2019;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;;84:3D:C6:37:3A:3F;;11;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Nov 25 17:16:27 2019;Mon Nov 25 17:20:57 2019;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;eduroam;DC:F7:19:4D:31:00;;11;No;WPA2,AES-CCM;No;130.0;0;295;0;129;0;0;129;;;Mon Nov 25 17:14:18 2019;Mon Nov 25 17:21:50 2019;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;DIRECT-OVNAOCOMPREMHPms5B;4A:45:20:D4:2A:B5;;11;No;WPA2,AES-CCM;No;130.0;0;3400;0;0;0;0;0;;;Mon Nov 25 17:13:10 2019;Mon Nov 25 17:21:53 2019;-38;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;SIO_WEP;58:EF:68:B7:23:C1;;11;No;WEP;No;54.0;0;5364;0;155922;0;0;155922;;;Mon Nov 25 17:07:13 2019;Mon Nov 25 17:21:53 2019;-38;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
15;infrastructure;SIO_WPA;58:EF:68:B7:2B:91;;11;No;WPA2,WPA,AES-CCM,TKIP;No;360.0;0;6941;0;3583;0;0;3583;;;Mon Nov 25 17:07:13 2019;Mon Nov 25 17:21:53 2019;-19;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
16;infrastructure;;DC:F7:19:4D:89:C0;;11;No;OPN,None;No;-1.0;0;0;0;3;0;0;3;;;Mon Nov 25 17:12:29 2019;Mon Nov 25 17:21:36 2019;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
17;infrastructure;;DC:F7:19:3D:57:A0;;11;No;OPN,None;No;-1.0;0;0;0;5;0;0;5;;;Mon Nov 25 17:09:33 2019;Mon Nov 25 17:21:33 2019;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;eduroam;FC:5B:39:B0:17:00;;11;No;WPA,None;No;-1.0;0;0;0;71;0;0;71;;;Mon Nov 25 17:11:34 2019;Mon Nov 25 17:21:50 2019;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
19;infrastructure;;74:88:BB:20:C0:E0;;11;No;WPA,None;No;-1.0;0;0;0;154;0;0;154;;;Mon Nov 25 17:10:19 2019;Mon Nov 25 17:21:50 2019;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
